panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
DHS,DHS_LOTTERY,beh,dom,gam,dis,100,NA,lot,hyp,1,1,1
DHS,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1,1
DHS,RISK_FIN_DHS_ORD7A,pro,dom,inv,ord,7,NA,NA,NA,1,1,1
DHS,RISK_FIN_DHS_ORD7B,pro,dom,inv,ord,7,NA,NA,NA,1,1,1
DHS,RISK_FIN_DHS_ORD7C,pro,dom,inv,ord,7,NA,NA,NA,1,1,1
DHS,RISK_FIN_DHS_ORD7D,pro,dom,inv,ord,7,NA,NA,NA,1,1,1
DHS,RISK_FIN_DHS_ORD7E,pro,dom,inv,ord,7,NA,NA,NA,1,1,1
