panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
BBRS_DE,AUDIT,fre,dom,alc,com,NA,365,NA,NA,10,1,1
BBRS_DE,BANK_ALLOC,beh,dom,inv,ord,6,NA,alloc,hyp,1,1,1
BBRS_DE,BART_PUMPS_ADJ,beh,dom,gam,com,NA,NA,dyn,inc,30,1,1
BBRS_DE,CARE_AGGR,fre,dom,eth,com,NA,180,NA,NA,9,1,1
BBRS_DE,CARE_OCC,fre,dom,occ,com,NA,180,NA,NA,4,1,1
BBRS_DE,CARE_SEX,fre,dom,sex,com,NA,180,NA,NA,6,1,1
BBRS_DE,CCT_CARDS,beh,dom,gam,com,NA,NA,dyn,inc,84,1,1
BBRS_DE,DAST,fre,dom,dru,com,NA,365,NA,NA,20,1,1
BBRS_DE,DFD_RISK,beh,dom,gam,com,NA,NA,lot,inc,8,1,1
BBRS_DE,DFE_RISK,beh,dom,gam,com,NA,NA,dyn,inc,8,1,1
BBRS_DE,DOSPERT40_ETH,pro,dom,eth,com,NA,NA,NA,NA,8,1,1
BBRS_DE,DOSPERT40_GAM,pro,dom,gam,com,NA,NA,NA,NA,4,1,1
BBRS_DE,DOSPERT40_HEA,pro,dom,hea_gen,com,NA,NA,NA,NA,8,1,1
BBRS_DE,DOSPERT40_INV,pro,dom,inv,com,NA,NA,NA,NA,4,1,1
BBRS_DE,DOSPERT40_REC,pro,dom,rec,com,NA,NA,NA,NA,8,1,1
BBRS_DE,DOSPERT40_SOC,pro,dom,soc,com,NA,NA,NA,NA,8,1,1
BBRS_DE,GABS,pro,dom,gam,com,NA,NA,NA,NA,15,1,1
BBRS_DE,LOT_RISK,beh,dom,gam,com,NA,NA,lot,inc,84,1,1
BBRS_DE,MPL_RISK,beh,dom,gam,com,NA,NA,mpl,inc,10,1,1
BBRS_DE,MT_RISK,beh,dom,gam,com,NA,NA,lot,inc,60,1,1
BBRS_DE,PG,fre,dom,gam,com,NA,365,NA,NA,19,1,1
BBRS_DE,RISK_DRI_COMP_ORD11A,pro,dom,dri,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_DRI_ORD11A,pro,dom,dri,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_FIN_COMP_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_FIN_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_GEN_COMP_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_HEA_COMP_ORD11A,pro,dom,hea_gen,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_HEA_ORD11A,pro,dom,hea_gen,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_OCC_COMP_ORD11A,pro,dom,occ,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_OCC_ORD11A,pro,dom,occ,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_REC_COMP_ORD11A,pro,dom,rec,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_REC_ORD11A,pro,dom,rec,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_SOC_COMP_ORD11A,pro,dom,soc,ord,11,NA,NA,NA,1,1,1
BBRS_DE,RISK_SOC_ORD11A,pro,dom,soc,ord,11,NA,NA,NA,1,1,1
