min,max,group,age_bin_categ
10,14,10-14,5
15,19,15-19,5
20,24,20-24,5
25,29,25-29,5
30,34,30-34,5
35,39,35-39,5
40,44,40-44,5
45,49,45-49,5
50,54,50-54,5
55,59,55-59,5
60,64,60-64,5
65,69,65-69,5
70,74,70-74,5
75,79,75-79,5
80,84,80-84,5
85,90,85-90,5
10,90,10-90,5
10,19,10-19,10
20,29,20-29,10
30,39,30-39,10
40,49,40-49,10
50,59,50-59,10
60,69,60-69,10
70,79,70-79,10
80,90,80-90,10
10,90,10-90,10
10,29,10-29,20
30,49,30-49,20
50,69,50-69,20
70,90,70-90,20
10,90,10-90,20
