panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,continent,country,language,data_collect_mode,sample_type
CMC,CMC,2000,2000,2001,2001,0.9643835616438357,0.9643835616438357,0.9643835616438357,0.9643835616438357,0,20,10-29,13.026845637583893,13,12,19,0.7795392625432561,male,0,596,0.08166409861325119,BREAKIN_CAR_YR_OEA,-0.005350349209479794,-0.010195112723017692,-0.0028894774861546366,-0.008173242248435261,-0.010195112723017692,-0.006514837279776015,16.03003457597976,11.679189528982233,17.957033473044742,16.324680461369578,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2001,2001,0.9643835616438357,0.9643835616438357,0.9643835616438357,0.9643835616438357,0,20,10-29,12.840667678300456,13,12,16,0.6800121872472462,female,1,659,0.061253561253561295,BREAKIN_CAR_YR_OEA,-0.0021508957738231188,-0.0021508957738231188,-0.0020304568527918293,-0.0021508957738231188,-0.0021508957738231188,-0.002030456852791882,18.13833620047827,25.670995305986875,18.069395234485036,25.61252661798204,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2001,2001,0.9643835616438357,0.9643835616438357,0.9643835616438357,0.9643835616438357,0,20,10-29,12.929083665338645,13,12,19,0.7345910156673264,all,0.5250996015936255,1255,0.0710584752035529,BREAKIN_CAR_YR_OEA,-0.0030808702535845486,-0.006470442890495805,-0.0017019592321392298,-0.005036887259181962,-0.006470442890495805,-0.004181642246764269,19.572060752565115,16.59725341818472,24.34001800763569,23.66511488851184,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2001,2001,0.9643835616438357,0.9643835616438357,0.9643835616438357,0.9643835616438357,0,20,10-90,13.026845637583893,13,12,19,0.7795392625432561,male,0,596,0.08166409861325119,BREAKIN_CAR_YR_OEA,-0.005350349209479794,-0.010195112723017692,-0.0028894774861546366,-0.008173242248435261,-0.010195112723017692,-0.006514837279776015,16.03003457597976,11.679189528982233,17.957033473044742,16.324680461369578,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2001,2001,0.9643835616438357,0.9643835616438357,0.9643835616438357,0.9643835616438357,0,20,10-90,12.840667678300456,13,12,16,0.6800121872472462,female,1,659,0.061253561253561295,BREAKIN_CAR_YR_OEA,-0.0021508957738231188,-0.0021508957738231188,-0.0020304568527918293,-0.0021508957738231188,-0.0021508957738231188,-0.002030456852791882,18.13833620047827,25.670995305986875,18.069395234485036,25.61252661798204,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2001,2001,0.9643835616438357,0.9643835616438357,0.9643835616438357,0.9643835616438357,0,20,10-90,12.929083665338645,13,12,19,0.7345910156673264,all,0.5250996015936255,1255,0.0710584752035529,BREAKIN_CAR_YR_OEA,-0.0030808702535845486,-0.006470442890495805,-0.0017019592321392298,-0.005036887259181962,-0.006470442890495805,-0.004181642246764269,19.572060752565115,16.59725341818472,24.34001800763569,23.66511488851184,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2002,2002,1.8904109589041096,1.8904109589041096,1.8904109589041096,1.8904109589041096,0,20,10-29,12.952182952182952,13,12,17,0.738664628316148,male,0,481,0.2588597842835131,BREAKIN_CAR_YR_OEA,-9.980483926163098e-4,0.2400222167511445,-1.0107281574430885e-4,0.036528778301906706,0.2400222167511445,0.02155861331891677,18.630902619234725,18.186444737557846,20.773078525187568,21.621118093806643,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2002,2002,1.8904109589041096,1.8904109589041096,1.8904109589041096,1.8904109589041096,0,20,10-29,12.794223826714802,13,12,15,0.6540201403813107,female,1,554,0.21082621082621078,BREAKIN_CAR_YR_OEA,-0.0031377783510176537,-0.0031377783510176532,-0.002719854941069767,-0.003137778351017653,-0.0031377783510176532,-0.0027198549410697836,23.53720459187964,13.564615529180719,23.47342770705344,13.478579721645922,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2002,2002,1.8904109589041096,1.8904109589041096,1.8904109589041096,1.8904109589041096,0,20,10-29,12.867632850241545,13,12,17,0.6987594011250442,all,0.5352657004830917,1035,0.23390081421169506,BREAKIN_CAR_YR_OEA,3.0978852980620034e-4,0.16831949706599456,3.19650749974056e-5,0.035424536343532084,0.16831949706599456,0.021610298761273128,23.871671676715543,26.04164358698779,29.073431724236432,31.75460043767221,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
CMC,CMC,2000,2000,2002,2002,1.8904109589041096,1.8904109589041096,1.8904109589041096,1.8904109589041096,0,20,10-90,12.952182952182952,13,12,17,0.738664628316148,male,0,481,0.2588597842835131,BREAKIN_CAR_YR_OEA,-9.980483926163098e-4,0.2400222167511445,-1.0107281574430885e-4,0.036528778301906706,0.2400222167511445,0.02155861331891677,18.630902619234725,18.186444737557846,20.773078525187568,21.621118093806643,fre,dom,eth,oe,NA,365,NA,NA,Europe,Germany,German,Interview,Adolescents
